doc_id,filename,law_type,source,description,notes
traffic_001,traffic_001.pdf,traffic,SINDH ACT NO. XIII OF 2014,"to amend the Provincial Motor Vehicles Ordinance, 1965",Uploaded by user
traffic_002,traffic_002.pdf,traffic,"THE PROVINCIAL MOTOR VEHICLES ORDINANCE (10th July, 1965)",to amend and consolidate the law relating to Motor Vehicles in the Province of West Pakistan,Uploaded by user
traffic_003,traffic_003.pdf,traffic,"THE PROVINCIAL MOTOR VEHICLES (AMENDMENT) ACT, 2024 and SINDH ACT NO. I OF 2025","to amend the Provincial Motor Vehicles Ordinance, 1965",Uploaded by user
traffic_004,traffic_004.pdf,traffic,"WEST PAKISTAN ORDINANCE No. XIX OF 1965 (8th June, 1965)",to amend and consolidate the law relating to Motor Vehicles in the Province of West Pakistan.,Uploaded by user
traffic_005,traffic_005.pdf,traffic,"THE TRAFFIC OFFENCES (SPECIAL COURTS) ORDINANCE, [29th December, 1981]",An Ordinance to constitute Special Courts for the speedy disposal of cases pertaining to traffic offences.,Uploaded by user
dv_001,dv_001.pdf,domestic_violence,"THE CONSTITUTION OF THE ISLAMIC REPUBLIC OF PAKISTAN (12th April, 1973)","to provide an updated version of the constitution, incorporates all amendments made in it till date.",Uploaded by user
dv_002,dv_002.pdf,domestic_violence,"Act No. XXXV OF 2020 [2rd September, 2020]","to promote, protect and effectively ensure the rights and inclusion of persons with disabilities in the communities in line with the Islamic injunctions and provisions of the constitution of the Islamic republic of Pakistan to advance efforts for recognition of their respect and dignity in the society.",Uploaded by user
dv_003,dv_003.pdf,domestic_violence,"THE CHILD MARRIAGE RESTRAINT ACT, 1929 [1st October, 1929]",An Act to restrain the solemnisation of child marriages,Uploaded by user
dv_004,dv_004.pdf,domestic_violence,Act No. XXI OF 2018,An Act to provide for the protection and care of children in the Islamabad Capital Territory,Uploaded by user
dv_005,dv_005.pdf,domestic_violence,"CHRISTIAN MARRIAGE ACT, 1872 (XV of 1872) [18th July, 1872]",to consolidate and amend the law relating to the solemnization of the marriage of Christians.,Uploaded by user
dv_006,dv_006.pdf,domestic_violence,Act No.X of 2016,"An Act further to amend the Pakistan Penal code, 1860 and the Code of Criminal Procedure, 1898",Uploaded by user
dv_007,dv_007.pdf,domestic_violence,"The Domestic Violence (Prevention and Protection) Act, 2013 and The Domestic Violence (Prevention and Protection) Rules, 2016",to make provisions for protection against domestic violence.,Uploaded by user
dv_008,dv_008.pdf,domestic_violence,"THE GUARDIANS AND WARDS ACT, 1890 [21st March, 1890]",An Act to consolidate and amend the law relating to Guardian and Ward.,Uploaded by user
dv_009,dv_009.pdf,domestic_violence,Act No. XXII OF 2018,An act to provide for criminal justice system for juveniles,Uploaded by user
dv_010,dv_010.pdf,domestic_violence,Act No. XVI OF 2020,An Act to provide for the establishment of a Legal Aid and Justice Authority,Uploaded by user
dv_011,dv_011.pdf,domestic_violence,"THE MUSLIM FAMILY LAWS ORDINANCE, 1961 [2nd March, 1961]",to give effect to certain recommendations of the Commission on Marriage and Family Laws,Uploaded by user
dv_012,dv_012.pdf,domestic_violence,"National Policy Framework on Human Rights, 2022-2027",Document on Human Rights for the people of Pakistan,Uploaded by user
dv_013,dv_013.pdf,domestic_violence,ACT NO. IX OF 2021,"to provide for the well-being, comfort and dignity of the senior citizens residing in the Islamabad Capital Territory",Uploaded by user
dv_014,dv_014.pdf,domestic_violence,"THE DISSOLUTION OF MUSLIM MARRIAGES ACT, 1939 [17th March, 1939]",An Act to consolidate and clarify the provisions of Muslim law relating to suits for dissolution of marriage by women married under Muslim law and to remove doubts as to the effect of the renunciation of Islam by a married Muslim woman on her marriage tie.,Uploaded by user
dv_015,dv_015.pdf,domestic_violence,"THE DOWRY AND BRIDAL GIFTS (RESTRICTION) ACT, 1976 [4th June, 1976]",An Act to provide for restrictions on dowry and bridal gifts,Uploaded by user
dv_016,dv_016.pdf,domestic_violence,"THE HINDU MARRIAGE ACT, 2017 - ACT NO VII OF 2017 [21st March, 2017]",An Act to provide for solemnization of marriages by Hindu families and for matters ancillary and incidental thereto,Uploaded by user
dv_017,dv_017.pdf,domestic_violence,ACT NO. II OF 2022,"An Act to amend the Islamabad Capital Territory Child Protection Act, 2018",Uploaded by user
dv_018,dv_018.pdf,domestic_violence,ACT NO. lll OF 2022,"An Act to amend the Juvenile Justice System Act, 2018",Uploaded by user
dv_019,dv_019.pdf,domestic_violence,ACT NO. I OF 2022,"An Act to amen the National Commission on the Rights of Child Act, 2017",Uploaded by user
dv_020,dv_020.pdf,domestic_violence,"W.P. ACT NO. XXXV OF 1964 [18th July, 1964]",An Act to make provision for the establishment of Family Courts.,Uploaded by user
dv_021,dv_021.pdf,domestic_violence,"ACT NO. V OF 2022 [24th January, 2022]","An Act to amend the Protection against Harassment of women at the Workplace Act, 2010",Uploaded by user
dv_022,dv_022.pdf,domestic_violence,ACT NO. XV OF 2020,"An Act to make provisions for raising alert, response and recovery of missing and abducted children",Uploaded by user
dv_023,dv_023.pdf,domestic_violence,"THE OFFENCE OF ZINA (ENFORCEMENT OF HUDOOD) ORDINANCE, 1979. [10th February, 1979]",An Ordinance to bring in conformity with the Injunctions of Islam the law relating to the offence of zina,Uploaded by user
